# Generational pool for Pillar-D longitudinal churn test. created_date from OpenRouter catalog (snapshot 2026-06-19).
model_id,provider_family,created_date,price_in_per_mtok_usd,price_out_per_mtok_usd
anthropic/claude-3-haiku,anthropic,2024-03-13,0.25,1.25
openai/gpt-4o-2024-05-13,openai,2024-05-13,5.0,15.0
meta-llama/llama-3.1-70b-instruct,meta,2024-07-23,0.4,0.4
qwen/qwen-2.5-72b-instruct,qwen,2024-09-19,0.36,0.4
anthropic/claude-3.5-haiku,anthropic,2024-11-04,0.8,4.0
openai/gpt-4o-2024-11-20,openai,2024-11-20,2.5,10.0
meta-llama/llama-3.3-70b-instruct,meta,2024-12-06,0.1,0.32
deepseek/deepseek-chat,deepseek,2024-12-26,0.2002,0.8001
meta-llama/llama-4-maverick,meta,2025-04-05,0.15,0.6
anthropic/claude-sonnet-4,anthropic,2025-05-22,3.0,15.0
google/gemini-2.5-flash,google,2025-06-17,0.3,2.5
qwen/qwen3-235b-a22b-2507,qwen,2025-07-21,0.09,0.1
openai/gpt-5-mini,openai,2025-08-07,0.25,2.0
anthropic/claude-sonnet-4.5,anthropic,2025-09-29,3.0,15.0
openai/gpt-5.1,openai,2025-11-13,1.25,10.0
deepseek/deepseek-v3.2,deepseek,2025-12-01,0.2288,0.3432
anthropic/claude-sonnet-4.6,anthropic,2026-02-17,3.0,15.0
google/gemini-3.1-pro-preview,google,2026-02-19,2.0,12.0
